koi_dikco_msky,koi_dicco_msky,koi_max_mult_ev,koi_fwm_srao,koi_fwm_sdeco,koi_dikco_mra,koi_model_snr,koi_dikco_mdec,koi_dicco_mdec,koi_ror,koi_dicco_mra,koi_prad,koi_fpflag_ss,koi_dor,koi_fpflag_co,koi_max_sngle_ev,koi_period,koi_fwm_prao,koi_num_transits,koi_ldm_coeff1,koi_incl,koi_fwm_stat_sig,koi_depth,koi_fwm_pdeco,koi_ldm_coeff2,koi_bin_oedp_sig,koi_count,koi_fpflag_nt,koi_teq,koi_insol,koi_impact,koi_steff,koi_fwm_sra,koi_disposition_num
0.32,0.2,28.47082,0.43,0.94,0.08,35.8,0.31,0.2,0.022344,-0.01,2.26,0,24.81,0,5.135849,9.48803557,-0.0002,142.0,0.4603,89.66,0.002,615.8,-0.00055,0.2291,0.6864,2,0,793.0,93.59,0.146,5455.0,19.462294,2
0.5,0.39,20.109507,-0.63,1.23,0.49,25.8,0.12,0.0,0.027954,0.39,2.83,0,77.9,0,7.027669,54.4183827,0.00066,25.0,0.4603,89.57,0.003,874.8,-0.00105,0.2291,0.0023,2,0,443.0,9.11,0.586,5455.0,19.462265,2
0.027,0.042,187.4491,-0.021,-0.038,0.002,76.3,-0.027,-0.034,0.154046,-0.025,14.6,0,53.5,0,37.159767,19.89913995,0.0007,56.0,0.3858,88.96,0.278,10829.0,0.0006,0.2711,0.6624,1,0,638.0,39.3,0.969,5853.0,19.8003207,1
0.276,0.289,541.8951,-0.111,0.002,-0.257,505.6,0.099,0.147,0.387394,-0.249,33.46,1,3.278,0,39.06655,1.736952453,0.00302,621.0,0.3556,67.09,0.0,8079.2,-0.00142,0.2865,0.0,1,0,1395.0,891.96,1.276,5805.0,19.03563762,0
0.07,0.1,33.1919,-0.01,0.23,0.07,40.9,0.02,-0.09,0.024064,0.03,2.75,0,8.75,0,4.749945,2.525591777,8e-05,515.0,0.3661,85.41,0.733,603.3,-7e-05,0.2844,0.309,1,0,1406.0,926.16,0.701,6031.0,19.2503258,2
0.08,0.08,55.204865,-0.12,0.14,-0.02,66.5,-0.08,-0.07,0.036779,0.04,3.9,0,16.36,0,9.046456,11.09432054,4e-05,95.0,0.3511,88.11,0.006,1517.5,0.0,0.2889,0.0975,3,0,835.0,114.81,0.538,6046.0,19.7524061,2
0.19,0.26,33.546658,0.14,-0.32,0.18,40.2,0.06,0.09,0.026133,0.25,2.77,0,6.96,0,5.500643,4.13443512,-0.00016,240.0,0.3511,83.72,0.006,686.0,0.0,0.2889,0.546,3,0,1160.0,427.65,0.762,6046.0,19.752413,2
0.5,0.45,12.325094,0.1,0.3,-0.41,15.0,-0.29,-0.3,0.014983,-0.33,1.59,0,5.54,0,4.3886313,2.56658897,-4e-05,355.0,0.3511,82.17,0.006,226.5,0.0,0.2889,0.4352,3,0,1360.0,807.74,0.755,6046.0,19.752412,2
8.948,8.93,46.15308,-13.45,24.09,-4.537,47.7,7.713,7.71,0.183387,-4.506,39.21,1,2.4,1,10.964684,7.36178958,0.003032,185.0,0.3201,60.92,0.0,233.7,-0.005549,0.305,0.7213,1,0,1342.0,767.22,1.169,6227.0,19.9239534,0
0.031,0.044,137.44981,0.033,-0.044,0.005,161.9,0.03,-0.015,0.062161,0.041,5.76,0,36.85,0,20.457163,16.06864674,0.00026,69.0,0.582,89.92,0.063,4914.3,0.00049,0.1451,0.1819,3,0,600.0,30.75,0.052,5031.0,19.1332989,2
0.27,0.3,6468.04,-0.0232,0.1066,0.015,4304.3,-0.27,-0.3,0.123871,-0.009,13.04,0,8.3977,0,544.1701,2.470613377,-0.00012,432.0,0.3928,84.41,0.0,14231.0,0.00078,0.2676,0.1522,1,0,1339.0,761.46,0.818,5820.0,19.12056404,2
4.19,3.97,3862.1846,0.3986,-0.7585,2.02,5945.9,-3.67,-3.29,0.075522,2.22,16.1,1,4.602,0,232.27,2.204735417,-0.001754,611.0,0.2958,87.21,0.006,6674.7,0.0,0.3168,0.0,1,0,2048.0,4148.92,0.224,6440.0,19.483163025,2
