koi_dikco_msky,koi_dicco_msky,koi_fwm_srao,koi_max_mult_ev,koi_fwm_sdeco,koi_dikco_mra,koi_model_snr,koi_dicco_mdec,koi_ror,koi_prad,koi_dikco_mdec,koi_dicco_mra,koi_fpflag_ss,koi_dor,koi_fpflag_co,koi_ldm_coeff1,koi_max_sngle_ev,koi_period,koi_incl,koi_fwm_prao,koi_disposition_num
0.32,0.2,0.43,28.47082,0.94,0.08,35.8,0.2,0.022344,2.26,0.31,-0.01,0,24.81,0,0.4603,5.135849,9.48803557,89.66,-0.0002,2
0.5,0.39,-0.63,20.109507,1.23,0.49,25.8,0.0,0.027954,2.83,0.12,0.39,0,77.9,0,0.4603,7.027669,54.4183827,89.57,0.00066,2
0.027,0.042,-0.021,187.4491,-0.038,0.002,76.3,-0.034,0.154046,14.6,-0.027,-0.025,0,53.5,0,0.3858,37.159767,19.89913995,88.96,0.0007,1
0.276,0.289,-0.111,541.8951,0.002,-0.257,505.6,0.147,0.387394,33.46,0.099,-0.249,1,3.278,0,0.3556,39.06655,1.736952453,67.09,0.00302,0
0.07,0.1,-0.01,33.1919,0.23,0.07,40.9,-0.09,0.024064,2.75,0.02,0.03,0,8.75,0,0.3661,4.749945,2.525591777,85.41,8e-05,2
0.08,0.08,-0.12,55.204865,0.14,-0.02,66.5,-0.07,0.036779,3.9,-0.08,0.04,0,16.36,0,0.3511,9.046456,11.09432054,88.11,4e-05,2
0.19,0.26,0.14,33.546658,-0.32,0.18,40.2,0.09,0.026133,2.77,0.06,0.25,0,6.96,0,0.3511,5.500643,4.13443512,83.72,-0.00016,2
0.5,0.45,0.1,12.325094,0.3,-0.41,15.0,-0.3,0.014983,1.59,-0.29,-0.33,0,5.54,0,0.3511,4.3886313,2.56658897,82.17,-4e-05,2
8.948,8.93,-13.45,46.15308,24.09,-4.537,47.7,7.71,0.183387,39.21,7.713,-4.506,1,2.4,1,0.3201,10.964684,7.36178958,60.92,0.003032,0
0.031,0.044,0.033,137.44981,-0.044,0.005,161.9,-0.015,0.062161,5.76,0.03,0.041,0,36.85,0,0.582,20.457163,16.06864674,89.92,0.00026,2
0.27,0.3,-0.0232,6468.04,0.1066,0.015,4304.3,-0.3,0.123871,13.04,-0.27,-0.009,0,8.3977,0,0.3928,544.1701,2.470613377,84.41,-0.00012,2
4.19,3.97,0.3986,3862.1846,-0.7585,2.02,5945.9,-3.29,0.075522,16.1,-3.67,2.22,1,4.602,0,0.2958,232.27,2.204735417,87.21,-0.001754,2
0.178,0.02,-0.5515,1725.5824,-0.0597,-0.028,1741.5,-0.013,0.092086,14.59,0.176,0.014,0,7.541,0,0.3201,130.83832,3.522498429,85.2,1e-05,2
0.21,0.29,0.36,41.28873,0.45,0.16,50.6,-0.15,0.010424,1.16,-0.13,0.24,0,10.888,0,0.4035,4.8657312,3.709214104,89.73,-4.6e-05,2
0.151,0.013,0.068,628.3708,-0.038,0.147,622.1,-0.009,1.625358,150.51,0.037,0.009,1,20.75,0,0.3858,92.901566,11.521446064,83.13,0.0,0
0.152,0.009,0.038,320.90817,-0.005,-0.147,214.7,0.009,0.096729,7.18,-0.038,-0.001,1,9.099,0,0.5172,49.468765,19.40393776,84.93,-0.00038,0
0.203,0.006,-0.1235,2174.4263,-0.2667,-0.018,2317.0,0.005,0.476633,49.29,-0.203,0.003,1,31.323,0,0.3447,387.658,19.221388942,88.05,-0.0005,0
0.017,0.04,-0.092,258.8247,-0.25,0.017,303.4,-0.004,0.092509,7.94,0.001,-0.04,1,14.05,0,0.49,43.1625,16.46983774,88.81,0.0007,0
0.346,0.059,-0.05,71.48005,0.2,0.042,87.2,-0.008,0.032563,2.47,0.344,-0.059,0,20.65,0,0.6019,9.616924,9.27358173,88.93,0.00034,2
0.3,0.11,-0.32,52.36939,-0.24,-0.19,65.4,0.01,0.038838,2.85,-0.24,0.11,0,29.31,0,0.6908,6.876831,6.02930329,89.5,-0.00017,2
2.49,2.44,-1.47,34.570904,-0.53,0.89,48.2,2.19,0.017673,1.58,2.32,1.08,1,5.827,1,0.5746,5.508401,2.696370652,89.56,0.00047,0
0.04,0.04,-0.71,48.504196,-0.38,-0.02,60.6,-0.02,0.025706,2.55,-0.03,0.04,0,13.8015,0,0.5256,6.0370364,5.349553819,89.62,0.00055,2
0.42,0.42,0.2,22.749151,0.38,-0.24,28.9,0.35,0.017105,1.7,0.34,-0.23,0,11.51,0,0.5256,4.5118856,3.94105221,88.88,-8e-05,2
0.22,0.18,3.8,9.776852,-0.1,-0.15,14.1,-0.14,0.013127,1.3,-0.15,-0.11,0,17.46,0,0.5256,4.434382,8.10904807,89.92,-0.00072,2
0.163,0.037,-0.008,19.2544115,0.067,0.001,994.0,0.037,0.240528,41.5,0.163,0.001,1,332.0,0,0.4707,5.5897505,386.6030528,89.95,-0.0007,0
